Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-2263M,,,Name:,Tom's Speedcoach,,,Firmware:,---,,,Boat ID:,---
Start Time:,03/07/23 04:27pm,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2268560,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.17,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.02,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11
,,,,LiNK Version:,1.32


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,2263.4,0.0,00:09:10.3,00:02:01.6,4.11,00:00:00.0,0.00,35.5,300,7.5,0.0,---,---,---,---,---,---,---,---,---,---,52.23485040,0.17182130


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,2263.4,0.0,00:09:10.3,00:02:01.6,4.11,00:00:00.0,0.00,35.5,300,7.5,0.0,---,---,---,---,---,---,---,---,---,---,52.23485040,0.17182130



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,0.9,0.0,00:00:01.5,00:07:03.7,1.18,00:00:00.0,0.00,40.0,1,0.9,0.0,---,---,---,---,---,---,---,---,---,---,52.23485040,0.17182130
1,2.0,0.0,00:00:02.1,00:06:07.6,1.36,00:00:00.0,0.00,85.0,2,1.1,0.0,---,---,---,---,---,---,---,---,---,---,52.23484070,0.17181700
1,6.0,0.0,00:00:03.5,00:03:41.2,2.26,00:00:00.0,0.00,39.5,3,4.0,0.0,---,---,---,---,---,---,---,---,---,---,52.23480640,0.17180080
1,10.7,0.0,00:00:04.9,00:02:57.9,2.81,00:00:00.0,0.00,45.5,4,4.8,0.0,---,---,---,---,---,---,---,---,---,---,52.23476550,0.17177960
1,16.6,0.0,00:00:06.3,00:02:22.0,3.52,00:00:00.0,0.00,46.5,5,5.8,0.0,---,---,---,---,---,---,---,---,---,---,52.23471490,0.17175790
1,21.8,0.0,00:00:07.5,00:02:03.1,4.06,00:00:00.0,0.00,46.5,6,5.3,0.0,---,---,---,---,---,---,---,---,---,---,52.23466880,0.17174060
1,27.7,0.0,00:00:08.8,00:01:53.1,4.42,00:00:00.0,0.00,44.0,7,5.9,0.0,---,---,---,---,---,---,---,---,---,---,52.23461660,0.17172570
1,35.1,0.0,00:00:10.3,00:01:48.9,4.59,00:00:00.0,0.00,44.0,8,7.4,0.0,---,---,---,---,---,---,---,---,---,---,52.23455090,0.17170690
1,40.9,0.0,00:00:11.5,00:01:42.6,4.87,00:00:00.0,0.00,43.0,9,5.7,0.0,---,---,---,---,---,---,---,---,---,---,52.23450060,0.17168960
1,50.2,0.0,00:00:13.1,00:01:35.4,5.24,00:00:00.0,0.00,43.0,10,9.4,0.0,---,---,---,---,---,---,---,---,---,---,52.23441880,0.17165760
1,57.3,0.0,00:00:14.6,00:01:31.0,5.49,00:00:00.0,0.00,43.0,11,7.1,0.0,---,---,---,---,---,---,---,---,---,---,52.23435660,0.17163600
1,66.6,0.0,00:00:15.9,00:01:27.7,5.70,00:00:00.0,0.00,43.0,12,9.3,0.0,---,---,---,---,---,---,---,---,---,---,52.23427420,0.17161010
1,74.2,0.0,00:00:17.5,00:01:24.6,5.91,00:00:00.0,0.00,43.0,13,7.5,0.0,---,---,---,---,---,---,---,---,---,---,52.23420750,0.17159190
1,82.2,0.0,00:00:18.7,00:01:27.4,5.72,00:00:00.0,0.00,41.5,14,8.0,0.0,---,---,---,---,---,---,---,---,---,---,52.23413690,0.17157050
1,90.1,0.0,00:00:20.1,00:01:29.4,5.59,00:00:00.0,0.00,42.5,15,7.9,0.0,---,---,---,---,---,---,---,---,---,---,52.23406700,0.17154940
1,98.1,0.0,00:00:21.5,00:01:28.0,5.68,00:00:00.0,0.00,42.0,16,8.0,0.0,---,---,---,---,---,---,---,---,---,---,52.23399620,0.17152930
1,105.9,0.0,00:00:22.9,00:01:28.9,5.62,00:00:00.0,0.00,42.0,17,7.8,0.0,---,---,---,---,---,---,---,---,---,---,52.23392700,0.17151250
